,date,topic,volume,percentage,state,state_abbrev
372,2023-07-31,Adidas - Texas State,616310,19.118509258196507,Texas,TX
373,2023-07-31,New Balance - Texas State,819310,25.41575801193065,Texas,TX
374,2023-07-31,Nike - Texas State,1788010,55.46573272987284,Texas,TX
375,2023-06-30,Adidas - Texas State,509650,22.101232447809608,Texas,TX
376,2023-06-30,New Balance - Texas State,579310,25.12207391217617,Texas,TX
377,2023-06-30,Nike - Texas State,1217020,52.77669364001423,Texas,TX
378,2023-05-31,Adidas - Texas State,543160,22.942247340032356,Texas,TX
379,2023-05-31,New Balance - Texas State,572310,24.173498739181674,Texas,TX
380,2023-05-31,Nike - Texas State,1252040,52.88425392078597,Texas,TX
381,2023-04-30,Adidas - Texas State,491920,20.49965619986248,Texas,TX
382,2023-04-30,New Balance - Texas State,599990,25.00322963765549,Texas,TX
383,2023-04-30,Nike - Texas State,1307740,54.49711416248203,Texas,TX
384,2023-03-31,Adidas - Texas State,472840,18.187622846460677,Texas,TX
385,2023-03-31,New Balance - Texas State,671590,25.83247108420296,Texas,TX
386,2023-03-31,Nike - Texas State,1455360,55.97990606933637,Texas,TX
387,2023-02-28,Adidas - Texas State,452090,19.544935756653462,Texas,TX
388,2023-02-28,New Balance - Texas State,540710,23.37619105262248,Texas,TX
389,2023-02-28,Nike - Texas State,1320280,57.07887319072405,Texas,TX
390,2023-01-31,Adidas - Texas State,478340,18.195304535702878,Texas,TX
391,2023-01-31,New Balance - Texas State,559610,21.28668806962555,Texas,TX
392,2023-01-31,Nike - Texas State,1590970,60.51800739467158,Texas,TX
393,2022-12-31,Adidas - Texas State,642190,18.070770313049596,Texas,TX
394,2022-12-31,New Balance - Texas State,628280,17.67935279634189,Texas,TX
